Kode Accurate,NAMA BARANG,SP,woo_product_id
101259,BUNDLING ROUTER + SIMCARD HUAWEI B320 - STAR H2,599000,29013
101263,CATRIDGE HP 680 TRI COLOUR,150000,25298
101261,CATRIDGE HP 682 TRI COLOUR,160000,25298
101510,FAN PROCESSOR AEROCOOL CYLON 4F ARGB - BLACK,460000,28438
101509,FAN PROCESSOR AEROCOOL MIRAGE 5 ARGB - BLACK,490000,28438
101551,FAN PROCESSOR DIGITAL ALLIANCE AIR COOLER DA1700 FOR INTEL,100000,14632
100377,FANTECH SET COMBO KM103 BLACK,125.000,6851
101088,HEADSET FANTECH FLASH HQ53 WIRED 3.5mm - WHITE,129000,29723
101220,HEADSET LOGITECH G435 LIGHTSPEED WIRELESS - BLUE,919000,29225
100256,HEADSET REXUS VONIX F80 2-CONNECTION - PINK,255000,28006
